ds,app_name,time_start,time_end
20220804,MS0,2022-08-04 21:49:11,2022-08-04 23:10:01
20220809,MS0,2022-08-09 12:19:29,2022-08-09 14:37:33
20220811,MS0,2022-08-11 20:59:19,2022-08-11 22:39:40
20220816,MS0,2022-08-16 17:20:28,2022-08-16 22:52:49
20220818,MS0,2022-08-18 13:48:28,2022-08-18 21:24:19
20220823,MS0,2022-08-23 12:28:49,2022-08-23 15:54:31
20220830,MS0,2022-08-30 19:18:47,2022-08-30 20:35:38
20220907,MS0,2022-09-07 17:21:41,2022-09-07 19:20:48
20220913,MS0,2022-09-13 17:21:41,2022-09-13 19:20:48
20221025,MS0,2022-10-25 17:22:09,2022-10-25 21:46:59
20221027,MS0,2022-10-27 17:35:31,2022-10-27 22:05:07
